hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
2;42041;1;21.5.1999 0:00;420 Kulosaari;4202;1074;0.0;6;1999.0;2003;2004;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;SKANSKA;Yksityinen;570;0,04726472;0,004087102;3,25
8;14463;28;20.5.2016 0:00;140 Taka-Töölö;1402;8140;0.0;80;0.0;2021;2021;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;HGIN YLIOPISTOKIINTEISTÖT;Yksityinen;260;0,052735471;0,002344694;-0,5
14;7452;7;3.12.1982 0:00;070 Ullanlinna;702;1770;0.0;9;0.0;2017;2019;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;AURATUM ASUNNOT OY;Yksityinen;140;0,051625256;0,002428689;0
24;7133;5;26.4.2013 0:00;070 Ullanlinna;702;11093;0.0;80;0.0;2014;2014;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;VENÄJÄN FEDERAATIO;Yksityinen;140;0,051625256;0,002428689;0,5
25;8007;1;14.7.1977 0:00;080 Katajanokka;802;5400;0.0;54;1980.0;2007;2008;28.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;A. PALMBERG OY AB;Yksityinen;160;0,046561637;0,008786486;3,75
53;38276;1;11.5.2007 0:00;382 Ala-Malmi;3821;5200;400.0;78;2006.0;2016;2018;12.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;700;0,033210111;0,014907912;0
56;44027;31;16.1.1980 0:00;440 Tammisalo;4400;1284;0.0;9;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;APTEEKKIEN ELÄKEKASSA;Yksityinen;830;0,028244894;0,001208832;0
93;12376;17;13.12.1991 0:00;122 Alppila;1221;4814;2906.0;105;1991.0;1998;2001;10.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Ei Hitas;Kerrostalo;REALINVEST OY;Yksityinen;510;0,059177491;0,000559025;0
98;39037;1;30.8.1953 0:00;391 Tapaninvainio;3917;416;0.0;3;1995.0;2007;2011;16.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;OMATOIMINEN RAK.;Kaupunki;780;0,031688522;0,000421776;3,75
124;28037;2;11.10.1985 0:00;285 Veräjämäki;2851;240;0.0;1;1995.0;1995;2000;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;650;0,037302577;0,001841133;0
146;14512;8;16.8.1982 0:00;140 Taka-Töölö;1403;1410;0.0;25;0.0;2015;2015;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;VVO KODIT OY;Yksityinen;250;0,05110637;0,002344694;0,25
160;30074;4;15.4.1988 0:00;302 Kuusisaari;3020;476;0.0;2;1980.0;2018;2020;40.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;340;0,032642181;0,013160617;-0,25
164;30070;6;5.1.1981 0:00;302 Kuusisaari;3020;324;0.0;1;1980.0;2014;2017;37.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;HARTELA;Yksityinen;340;0,032642181;0,013160617;0,5
