hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
2;42041;1;1999-05-21 00:00:00;420 Kulosaari;4202;1074;0.0;6;1999.0;2003;2004;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;SKANSKA;Yksityinen;570;4,726472016;0,408710197;3,25
8;14463;28;2016-05-20 00:00:00;140 Taka-Töölö;1402;8140;0;80;0;2021;2021;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;HGIN YLIOPISTOKIINTEISTÖT;Yksityinen;260;5,273547066;0,234469412;-0,5
14;7452;7;1982-12-03 00:00:00;070 Ullanlinna;702;1770;0;9;0;2017;2019;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AURATUM ASUNNOT OY;Yksityinen;140;5,162525646;0,242868943;0
24;7133;5;2013-04-26 00:00:00;070 Ullanlinna;702;11093;0;80;0;2014;2014;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VENÄJÄN FEDERAATIO;Yksityinen;140;5,162525646;0,242868943;0,5
25;8007;1;1977-07-14 00:00:00;080 Katajanokka;802;5400;0.0;54;1980.0;2007;2008;28.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;A. PALMBERG OY AB;Yksityinen;160;4,656163716;0,87864861;3,75
53;38276;1;2007-05-11 00:00:00;382 Ala-Malmi;3821;5200;400.0;78;2006.0;2016;2018;12.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;700;3,321011103;1,490791185;0
56;44027;31;1980-01-16 00:00:00;440 Tammisalo;4400;1284;0.0;9;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;APTEEKKIEN ELÄKEKASSA;Yksityinen;830;2,824489352;0,120883234;0
93;12376;17;1991-12-13 00:00:00;122 Alppila;1221;4814;2906.0;105;1991.0;1998;2001;10.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Ei Hitas;Ei erityisryhmää;Kerrostalo;REALINVEST OY;Yksityinen;510;5,917749131;0,055902496;0
98;39037;1;1953-08-30 00:00:00;391 Tapaninvainio;3917;416;0.0;3;1995.0;2007;2011;16.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;OMATOIMINEN RAK.;Kaupunki;780;3,168852193;0,042177595;3,75
124;28037;2;1985-10-11 00:00:00;285 Veräjämäki;2851;240;0.0;1;1995.0;1995;2000;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;650;3,730257739;0,184113281;0
146;14512;8;1982-08-16 00:00:00;140 Taka-Töölö;1403;1410;0;25;0;2015;2015;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO KODIT OY;Yksityinen;250;5,110636987;0,234469412;0,25
160;30074;4;1988-04-15 00:00:00;302 Kuusisaari;3020;476;0.0;2;1980.0;2018;2020;40.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;340;3,264218076;1,316061735;-0,25
164;30070;6;1981-01-05 00:00:00;302 Kuusisaari;3020;324;0.0;1;1980.0;2014;2017;37.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;HARTELA;Yksityinen;340;3,264218076;1,316061735;0,5
167;30079;22;2006-03-03 00:00:00;302 Kuusisaari;3020;3671;0.0;20;1980.0;2004;2005;25.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;340;3,264218076;1,316061735;2,25
182;4069;8;1977-08-12 00:00:00;040 Kamppi;401;1148;0;32;0;2012;2012;0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Pitkäaikaisasunnottomat;Kerrostalo;Kovaosaisten ystävät ry;Yksityinen;100;5,606905584;0,666373535;2
185;29049;3;2013-12-05 00:00:00;291 Etelä-Haaga;2913;1700;0;46;0;2016;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;TAITOKAARI OY;Kaupunki;320;4,976107362;0,137404862;0
204;28076;4;1998-11-06 00:00:00;284 Patola;2847;509;0.0;4;1954.0;2017;2018;64.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;640;4,028670904;0,48461559;0
236;7100;1;2007-06-08 00:00:00;070 Ullanlinna;702;5750;850.0;26;2007.0;2007;2010;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;140;5,162525646;0,242868943;3,75
237;35040;9;1972-11-29 00:00:00;351 Paloheinä;3511;493;0.0;5;0;2013;2013;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MUURAMEKODIT OY;Yksityinen;670;3,534406535;0,173475075;0,75
238;34001;8;1982-05-21 00:00:00;342 Itä-Pakila;3421;679;0.0;7;1980.0;2001;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;680;3,849290882;0,067423044;5,25
240;35040;12;1972-11-29 00:00:00;351 Paloheinä;3511;488;0.0;5;0;2013;2013;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MESTA OY;Yksityinen;670;3,534406535;0,173475075;0,75
249;27930;2;2013-08-09 00:00:00;270 Vanhakaupunki;2700;450;0.0;3;0;2016;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;STATE CONTROL OY;Kaupunki myy / myynyt;560;6,071997415;7,700798409;0
270;38161;1;1964-04-21 00:00:00;382 Ala-Malmi;3823;2750;313.0;25;1980.0;2001;2002;22.0;ARA-vuokra;Vuokra-asuntoja;Valtion tuki;Ei Hitas;Muu erityisryhmä;Kerrostalo;ETELÄ-SUOMEN YH-RAKENNUTTAJA;Kaupunki;700;3,321011103;1,490791185;5,25
273;49151;1;1979-02-09 00:00:00;492 Jollas;4921;211;0.0;1;1987.0;1997;2002;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;MUU RAKENNUTTAJA;Yksityinen;850;4,952378241;0,350145248;0
286;1016;7;1983-01-14 00:00:00;010 Kruununhaka;104;3400;0.0;40;0;2013;2015;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;WESTPRO CC OY;Valtio;170;4,949048983;0,162989956;0,75
306;4087;4;2014-12-05 00:00:00;040 Kamppi;405;6350;0;51;0;2015;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;TAITOKAARI OY;Yksityinen;120;5,723487286;0,666373535;0,25
316;34156;5;1982-03-12 00:00:00;341 Länsi-Pakila;3413;196;43.0;2;1980.0;1996;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;660;3,722342878;0,398446727;0
329;46146;21;1975-08-04 00:00:00;463 Reimarla;4633;356;0.0;3;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;OMATOIMINEN RAK.;Kaupunki;370;3,280780396;0,188856089;0
346;28163;14;1953-10-05 00:00:00;284 Patola;2848;192;0.0;1;1990.0;1998;2001;11.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;640;4,028670904;0,48461559;0
356;36118;4;2005-05-27 00:00:00;364 Viikinmäki;3640;750;0.0;16;2008.0;2015;2016;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;OPTIMIKODIT OY;Kaupunki myy / myynyt;710;3,572011567;76,45817824;0,25
374;34100;15;1981-02-19 00:00:00;341 Länsi-Pakila;3411;513;0.0;3;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;660;3,722342878;0,398446727;0
375;38317;4;2013-07-12 00:00:00;383 Pihlajamäki;3831;4100;0.0;51;2014.0;2022;2023;9.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VRP ETELÄ-SUOMI OY;Kaupunki;710;3,572011567;-0,363727395;-0,5
385;30080;6;2004-04-23 00:00:00;302 Kuusisaari;3020;825;0.0;6;1980.0;2005;2006;26.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;340;3,264218076;1,316061735;2,25
389;4072;2;2013-06-07 00:00:00;040 Kamppi;406;2575;0;40;0;2015;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;RAKENNUSLIIKE J. RAJALA OY;Yksityinen;180;5,720427935;0,666373535;0,25
